current_facet_id,facet_id,c,value
2,66,230,Ortskatalog zur Kunst und Architektur
2,24,177,Bild
2,72,626,Politik
2,52,22932,Technik-Katalog
2,15,158,Skulptur
2,17,20,Kunst und Kultur
2,51,16,Druck
2,36,3,Wohnhaus
2,6,20,Kunstgewerbe
2,27,3,Zeichenkunst
2,50,38,Druckgrafik
2,23,135,Tafelmalerei
2,132,53,Malerei
2,60,27037,Bildnis
2,3,28235,Szenenbilder
2,102,23935,Bildnis-Katalog
2,62,23656,Luftbildschrägaufnahme
2,94,2,Deckenmalerei
2,172,7,Grabskulptur
2,38,853,Industrie
2,133,17964,Bildnisse
2,16,3,Statue
2,153,3,Bauskulptur
2,85,1,Buchmalerei
2,93,2,Deckenbild
2,115,667,Wirtschaft
2,12,1,Recht
2,391,4,Kartenforum
2,73,2,Relief
2,46,4310,Portrait
2,184,46,Geschichte
2,320,5,Physik
2,328,7,Bauwesen
2,319,50,Musik
2,450,1499,Stadt
2,77,691,Sport
2,126,100,Kirche
2,635,11,Mühle
2,215,14,Chemie
2,91,68,Möbel
2,738,1,Sakralraumskulptur
2,45,922,Landwirtschaft
2,112,44,Buchkunst
2,380,854,Natur
2,1030,1,Karte
2,114,121,Straße
2,271,7958,Geografie
2,327,6,Wohn- und Geschäftshaus
2,68,81,Oper
2,386,1,Verkehrswesen
2,353,1,Kapitell
2,204,12,Sonstiges
2,315,1286,Tiere
2,867,19,Musik-Katalog
2,187,4,Bauernhof
2,322,1,Ort
2,1482,82,Deutschland
2,761,50,Schloss
2,523,4585,Messen
2,424,4550,Künstler
2,283,6,Gesundheitswesen
2,605,10,Militär
2,1368,13,Photographie
2,377,78,Gemälde
2,40,120,Handwerk
2,1283,1087,Varia
2,1027,212,Denkmal
2,1540,1,Altar
2,606,1,Plan
2,167,1,Portal
2,238,1266,Porträt
2,417,58,Kunsthandwerk
2,437,14,Rathaus
2,296,181,Brunnen
2,575,797,Ausstellung
2,1046,64,Literatur
2,2093,98,Burg
2,1377,1879,Ausstellungen
2,2794,4,Haar- und Bartpflege
2,287,1244,Landschaft
2,1039,1336,Kultur
2,479,22,Schule
2,583,2412,Weltfestspiele der Jugend und Studenten
2,1909,2330,Landschaften
2,230,2365,Veranstaltungen
2,3133,4,Ansicht
2,476,2360,Arbeiterfotografie
2,421,90,Kunst
2,831,881,Theater
2,571,23,Büste
2,3462,8,Sonstige
2,329,41,Platz
2,311,42,Freizeit
2,194,1,Schriftkunst
2,1140,111,Bergbau
2,1173,4,Bauernhaus
2,2022,24,Medizin
2,175,24,Technik
2,932,1953,politische Veranstaltungen
2,967,277,Alltag
2,96,10,Gasthaus
2,1736,1,Bildwerke / Bildende Kunst
2,108,23,Brücke
2,649,37,Kapelle
2,55,1504,Schauspiel
2,757,7,Kopf
2,985,12,Schloß
2,599,1659,Pressefotografie
2,676,2,Lastkraftwagen
2,8,989,Stenografie
2,1831,31,Gruppe
2,221,4,Statistik
2,2048,1381,Bauwerk
2,1393,1,Schmiedekunst
2,3806,29,Turm
2,4359,1086,Aufbau
2,2354,1407,Kulturveranstaltungen
2,1601,914,Jugend
2,3183,24,Plastik
2,295,1,Brunnenskulptur
2,2320,1337,City
2,1035,1,Freiskulptur
2,48,56,Figur
2,2123,2,Dorfkirche
2,657,1,Tierfigur
2,513,3,Kloster
2,651,1222,Porträts
2,123,936,Gebäude
2,3168,4,Frisör
2,294,80,Innenraum
2,1874,9,Grafik
2,598,6,Verwaltungsgebäude
2,1249,1152,Musizierende
2,4972,56,Astronomie
2,246,6,Bagger
2,1370,6,Laden
2,1491,92,Museum
2,850,1,Stadttor
2,1360,15,Wappen
2,1022,1004,Konzert
2,2200,11,Hotel
2,2867,868,Schriftsteller
2,1771,742,Staatsbibliotheken
2,1777,1,Zeitung
2,569,93,Dorf
2,373,16,Fenster
2,1143,942,Demonstrationen
2,719,1013,Reportagefotografie
2,703,949,Altstadt
2,385,729,Arbeit
2,733,675,Kirchen
2,628,726,Kinder
2,936,919,Innenstadt
2,357,804,Dresden
2,2463,4,Marktplatz
2,1053,2,Aktfotografie
2,467,23,Akte
2,1621,878,Erster Mai
2,931,879,DDR
2,231,858,Arbeitende
2,2324,1,Waffe
2,435,1,Modell
2,1192,8,Palais
2,5933,1,Leuchter
2,44,19,Möbelmessen
2,4303,1,Tor
2,927,5,Tür
2,1674,102,Krankenhaus
2,1450,753,Kriege
2,861,1,Gartenskulptur
2,4629,10,Palast
2,772,11,Profanarchitektur
2,913,22,Decke
2,678,555,Schlösser
2,765,475,Handel
2,5300,2,Friedhof
2,1987,5,Sakralbau
2,963,1,Geographie
2,2925,14,Ortsansicht
2,3017,43,Park
2,1055,734,Festveranstaltungen
2,1123,44,Portfolio-Pöppelmann-Zwinger
2,4145,720,Freie Deutsche Jugend
2,1124,312,Festarchitektur
2,2233,264,Schiffe
2,465,526,Bibliotheken
2,2013,447,Schüler
10,4,114001,Fotos
10,1,16140,Fotografie
10,2,1748,Foto
10,11,11178,Kontaktbogen
10,21,1223,Monografie
10,10,220378,Architektur
10,66,79358,Ortskatalog zur Kunst und Architektur
10,14,32,Monographie
10,24,4,Bild
10,64,3,Aufsatz
10,72,10,Politik
10,52,2332,Technik-Katalog
10,15,775,Skulptur
10,22,1,Medizin\
10,155,1,Gesellschaft
10,51,2146,Druck
10,36,45135,Wohnhaus
10,6,417,Kunstgewerbe
10,27,70,Zeichenkunst
10,50,2140,Druckgrafik
10,23,1,Tafelmalerei
10,132,114,Malerei
10,31,42,AV-Materialien
10,28,68,Zeichnung
10,60,1,Bildnis
10,179,139,Band
10,102,3,Bildnis-Katalog
10,94,3,Deckenmalerei
10,95,34,Freskomalerei
10,172,34,Grabskulptur
10,178,879,Online-Publikation
10,111,28,Wandmalerei
10,38,2,Industrie
10,16,77,Statue
10,153,141,Bauskulptur
10,85,1,Buchmalerei
10,93,4,Deckenbild
10,115,5,Wirtschaft
10,186,55,Zeitschrift
10,12,1,Recht
10,58,3,Nachrichtenmedien\
10,262,1,Erziehung\
10,73,94,Relief
10,235,1,Biowissenschaften\
10,239,4,Grabstein
10,145,8,Wandbild
10,184,248,Geschichte
10,320,1,Physik
10,328,53,Bauwesen
10,319,2,Musik
10,450,4526,Stadt
10,77,1,Sport
10,126,11445,Kirche
10,635,672,Mühle
10,568,30,Druckgraphik
10,91,1,Möbel
10,253,12,Ingenieurwissenschaften und Maschinenbau
10,263,1,Landwirtschaft\
10,203,33,Text
10,738,15,Sakralraumskulptur
10,45,10,Landwirtschaft
10,380,1,Natur
10,522,9,Informatik
10,114,7728,Straße
10,174,10,Wohnen
10,327,7238,Wohn- und Geschäftshaus
10,530,6,Geschichte Deutschlands
10,68,2,Oper
10,185,86,Quelle
10,353,55,Kapitell
10,204,36,Sonstiges
10,188,13,Theologie\
10,363,3,Mathematik
10,415,10,Zeichnung / Grafik
10,867,18,Musik-Katalog
10,187,5547,Bauernhof
10,413,362,Grabmal
10,1277,1,Buch
10,322,3525,Ort
10,1482,31,Deutschland
10,761,4847,Schloss
10,105,5,mehrbändiges Werk
10,152,6,Technische Chemie
10,424,3,Künstler
10,211,5,Grundriss
10,18,2,Astronomie\
10,170,8,Naturwissenschaften
10,949,4465,Kirche (evangelisch)
10,116,1,Altarskulptur
10,962,3,Geografie\
10,1368,2,Photographie
10,422,1,Auktionskatalog
10,1542,2,Soziale Probleme\
10,377,5,Gemälde
10,412,23,Denkmalskulptur
10,196,1,Handel\
10,39,5,Sozialwissenschaften\
10,267,14,Keramik
10,40,1,Handwerk
10,427,1,Management
10,1283,61,Varia
10,1027,362,Denkmal
10,1167,3,Sonstiges &
10,1540,44,Altar
10,606,14,Plan
10,288,2,Entwurf
10,167,1354,Portal
10,238,2,Porträt
10,417,9,Kunsthandwerk
10,437,3006,Rathaus
10,587,3070,Kirche (katholisch)
10,130,1,Graphik
10,296,849,Brunnen
10,575,116,Ausstellung
10,1046,2,Literatur
10,1174,10,Künste\
10,2093,2781,Burg
10,372,59,Glasmalerei
10,859,103,Mehrbändiges Werk
10,1377,9,Ausstellungen
10,287,51,Landschaft
10,511,1,Psychologie
10,499,7,Industrielle und handwerkliche Fertigung
10,1039,30,Kultur
10,264,6,Hauswirtschaft und Familienleben
10,905,1,Rückseite
10,1565,2662,Villa
10,479,2051,Schule
10,447,9,Fortlaufendes Sammelwerk
10,268,10,Gruppe (2-figurig)
10,378,18,Reliefplastik
10,755,2,Aufriss
10,3133,1,Ansicht
10,421,46,Kunst
10,830,1,Deutsche Literatur
10,831,694,Theater
10,571,2,Büste
10,362,1,Zyklus
10,992,2,Textilkunst
10,3462,1,Sonstige
10,329,2125,Platz
10,1012,17,Deckendekoration
10,758,7,Portalskulptur
10,780,3,Philosophie
10,361,10,Rundplastik
10,1173,2001,Bauernhaus
10,585,8,Plastik\
10,1212,1,Bibliotheks- und Informationswissenschaft
10,80,28,Alte Geschichte\
10,1814,7,Aufsatzsammlung
10,175,8,Technik
10,2063,19,Frankreich
10,1672,4,Sitzfigur
10,173,2,Epitaph
10,967,2,Alltag
10,96,1800,Gasthaus
10,1736,10,Bildwerke / Bildende Kunst
