"id","name","count"
6371,"Demokratischer Frauenbund Deutschlands",407
2106,"Klassische Moderne",406
1275,"Gesellschaft für Deutsch-Sowjetische Freundschaft | DSF",405
6687,"Volksschädlingsverordnung",404
3773,"Kommunalpolitik",403
2126,"Einführung",402
4239,"Heimtückegesetz",402
5231,"sonstiger Text &amp; Chronik",401
959,"Griechisch",400
8182,"Haus",399
664,"Beleuchtung",398
901,"letter",398
1731,"Gesundheit",398
666,"Instandhaltung",397
2055,"Nationalsozialismus",397
2607,"Bibel AT, deutsch",396
5620,"Medien",396
165,"Theosophie",395
122,"Ausgrabung",394
1844,"Internationale Politik",394
4262,"Weihnachten",392
79,"Lateinische Literatur",390
1358,"Lager (Maschinenelement)",390
5011,"Umweltschutz",390
5979,"Drama",390
1609,"Hauptstadt",388
2957,"Führer",388
8496,"Geschichte 1600-1900",388
6014,"Krankenpflege; Ausbildung",387
76,"Wasserversorgung",386
3295,"Fahrzeugelektrik",386
3496,"Literaturwissenschaft",385
1013,"Kunst der 1980er Jahre",384
335,"Württembergische Kunstkammer; Gemälde, Grafiken, Handschriften",382
8984,"Zwickelbild",382
2666,"Zerspanungsfacharbeiter",381
2841,"Fischerei",381
3571,"Kommentar",381
2243,"Umschlag",380
6228,"Steuersystem",380
3144,"Prüfeinrichtung",377
9222,"Bettungsreinigungsmaschine",377
2905,"Erbauungsliteratur",376
4786,"Festspiele",375
6665,"Straßenbau",375
358,"Bärte",374
4841,"Collage",374
743,"Bildwerke / Bildende Kunst &gt; Zeichnung / Grafik",373
3741,"Brückenbau",372
659,"Container-Umschlagmittel",371
4907,"Spiel",371
3498,"Berlin",370
7674,"Meilenblatt",370
2466,"Russland",369
2939,"Pavillon",369
4645,"Dörfer",369
5045,"Wasser",367
403,"Akten",366
924,"Operette",365
1544,"Reproduktionen",365
1633,"Funktechnik",364
2030,"Feder (Fahrzeugtechnik)",363
5472,"Ofenplatte",363
10413,"Gedenkstein",363
209,"Schüssel",362
434,"automatisch",362
5674,"Mathematisch-Physikalischer Salon",362
1541,"Gedenktafel",361
1908,"Wandskulptur",361
6596,"370 - Bildung und Erziehung",360
4137,"Bäume",359
12236,"sonstiger Text &amp; Heiligenleben",359
6806,"Renaissance",358
