"id","value"
607,"Hetten Leinau met de Nebelkapp, kirk toch taun Fenster herut. Måk open doch din Ettenschapp, mien Mågen Knuß ganz lut, un weil ick bannig düstig bin, stou ick allhier twei vålle Stünn' Hetten Leinau (bis ,,herut\")"
608,"Mais"
609,"Wurzel"
610,"Aquaporine"
611,"Genexpression"
612,"Regulation"
613,"Pflanzenhormon"
614,"Abiotischer Faktor"
615,"Gestühl"
616,"Medaillon"
617,"Küchenporzellan (Konvolut Voratsgefäße)"
618,"Küche"
619,"Sanitäre Anlagen und Gerätschaften"
620,"Theater, Tanz"
621,"Heidelberger Bilderkatechismus"
622,"Statuette"
623,"Der Primärausgabe fehlen die Kupferstiche"
624,"Großherzoglich Sächsische Kunstschule zu Weimar 1860-1910"
625,"Staatliche Hochschulen für Baukunst, Bildende Künste und Handwerk Weimar 1930-1942"
626,"Staatliche Hochschule für Baukunst und Bildende Künste Weimar 1942-1945"
627,"Staatliche Hochschule für Baukunst und Bildende Künste Weimar 1946-1951"
628,"Kinder"
629,"autonome Randzeichnung"
630,"rechtlicher Text"
631,"Kaufmann"
632,"Güterwagen"
633,"Partei: FDP: Landtagswahl Rheinland-Pfalz 1991"
634,"Wahl: Landtagswahl Rheinland-Pfalz 1991"
635,"Mühle"
636,"Kirchhof mit Mantelmauerverlauf II"
637,"Kanzelaltar"
638,"Begeisterung für \"Armida\", Dank für Medaille und Cramers Silhouette, Dank Matts für \"Armida\" übermittelt; passim über die Klopstock-Medaille, die nicht gefällt; Wieser schreibt \"leeren Brief\" an Klopstock, will ihn Schrödern mitgeben, der dann aber doch nicht nach Hamburg reist"
639,"Beschriftung"
640,"BRD"
641,"Partei: FDP: Dreikönigstreffen 1964"
642,"Wahl: Landtagswahl 1964"
643,"Städtische Landwirtschaft"
644,"Gemüsebau"
645,"Boden"
646,"Schwermetallbelastung"
647,"Gesundheitsgefährdung"
648,"Mauerturm"
649,"Kapelle"
650,"Länderfinanzausgleich"
651,"Porträts"
652,"Kaufm. Lehrling"
653,"Kommunalpolitik; Rathaus Weinstadt-Beutelsbach; Entfernung Kunstwerk \"Hochzeitsteppich\""
654,"Künstler; Katharina Reusch; Hochzeitsteppich Rathaus Weinstadt-Beutelsbach"
655,"Anekdote"
656,"Tragfigur"
657,"Tierfigur"
658,"Giebelskulptur"
659,"Container-Umschlagmittel"
660,"Innere Schulreform"
661,"Pädagogische Institute"
662,"Person"
663,"Bauverwaltung"
664,"Beleuchtung"
665,"Elektrische Beleuchtung"
666,"Instandhaltung"
667,"Kaserne"
668,"Kavallerie"
669,"Kavalleriekaserne in Ulm"
670,"Grande Armée"
671,"Kriege, Napoleonische"
672,"Kestner-Museum <Hannover>"
673,"Tontafel"
674,"Keilschrifttext"
675,"Waisenheim, jüdisches"
676,"Lastkraftwagen"
677,"Postwesen"
678,"Schlösser"
679,"Armenverwaltungen"
680,"Zehntverleihungen"
681,"Regensburg"
682,"Klerus"
683,"Day, Thomas"
684,"Zeitungen"
685,"Kommentar: theol."
686,"Reliquiar"
687,"Religion, Religionsphilosophie"
688,"Diözese Passau"
689,"Schematismus"
690,"De ludo scachorum (Schachzabelbuch)"
691,"VD18 digital"
692,"special Jordan algebra"
693,"free Jordan product"
694,"strongly associative Jordan algebras"
695,"специальная йорданова алгебра"
696,"свободное произведение йордановых алгебр"
697,"сильно ассоциативные йордановы алгебры"
698,"17C10"
699,"Korrosionsschutz"
700,"Glasbild"
701,"Seriendruck"
702,"Familie"
703,"Altstadt"
704,"Kreuzgang"
705,"ordinary differential equations"
706,"дифференциальная операция"
707,"формулы разложения Г. Вейля"
708,"спектральная функция краевой задачи"
709,"основное пространство и обобщенные функции"
710,"несамосопряженная краевая задача"
711,"аналитическое выражение для спектральной функции"
712,"Wohnen; Wohnhaus"
713,"sh85075119"
714,"sh85148236"
715,"Weltkr. 598 b Baden"
716,"Zuschauer"
717,"Halle"
718,"Retabel"
719,"Reportagefotografie"
720,"Punishment (Capital)"
721,"Franzosen"
722,"Kriegsgefangene, ausländische"
723,"Kriegsgefangenenfürsorge"
724,"Russen"
725,"verstorbene württembergische Offiziere"
726,"verwundete württembergische Offiziere"
727,"württembergische Offiziere, gefallene"
728,"württembergische Offiziere, verstorbene"
729,"Schilbach, Johann Heinrich"
730,"Opern"
