timeId,name,keywordId,count
8,Deutsche Literatur,830,581
8,Nachrichtentechnik,1630,576
8,"Grafische Verfahren, Drucke",500,575
9,Monografie,21,45446
9,"Medizin, Gesundheit",22,14140
9,Fotos,4,13922
9,Foto,2,12866
9,Fotografie,1,12853
9,Standfoto,166,4674
9,Wirtschaft,115,3456
9,"Biowissenschaften, Biologie",235,3167
9,Geografie,271,3001
9,Physik,320,2304
9,Ingenieurwissenschaften und Maschinenbau,253,2245
9,Chemie,215,1863
9,Informatik,522,1756
9,"Landwirtschaft, Veterinärmedizin",263,1469
9,Online-Publikation,178,1420
9,Fortlaufendes Sammelwerk,447,1363
9,"Deutsches Filminstitut - DIF e.V., Standfoto",307,996
9,Management,427,987
9,Mathematik,363,927
9,Landschaft,287,903
9,"Sozialwissenschaften, Soziologie, Anthropologie",39,828
9,"Erziehung, Schul- und Bildungswesen",262,770
9,Geowissenschaften,168,740
9,Natur,380,725
9,Technische Chemie,152,666
9,Politik,72,662
9,AV-Materialien,31,661
9,Psychologie,511,610
9,Trailer,1615,573
9,City,2320,570
9,"Elektrotechnik, Elektronik",6464,542
9,Altstadt,703,505
9,Gebäude,123,496
9,"Soziale Probleme, Sozialdienste, Versicherungen",1542,459
9,"Natürliche Ressourcen, Energie und Umwelt",310,457
9,Recht,12,439
9,Musik,319,407
9,Innenstadt,936,403
9,"Geografie, Reisen",962,338
9,Deutsches Filminstitut - DIF e.V.,1616,333
9,"Astronomie, Kartographie",18,328
9,Mehrbändiges Werk,859,328
9,Ingenieurbau und Umwelttechnik,2241,318
9,Bauwerk,2048,315
9,Band,179,306
9,Tiere,315,286
9,"Landschaftsgestaltung, Raumplanung",1454,286
9,Amtsbücher,30,281
9,Industrielle und handwerkliche Fertigung,499,278
9,Kontaktbogen,11,269
9,Bibliotheks- und Informationswissenschaft,1212,258
9,Weltkulturerbe,4878,258
9,"Handel, Kommunikation, Verkehr",196,246
9,Architektur,10,235
9,Karten und Pläne,82,224
9,Harz,6541,220
9,Inkastadt,7049,215
9,Philosophie,780,214
9,Naturwissenschaften,170,205
9,Statistik,221,204
9,Buchkunst,112,202
9,"Allgemeines, Wissenschaft",169,187
9,Wandbild,145,181
9,Geschichte,184,174
9,Deutschland,1482,171
9,Deutsche Literatur,830,165
9,"Hausbau, Bauhandwerk",977,162
9,"Künste, Bildende Kunst allgemein",1174,152
9,Illustration,63,146
9,Fürstentum,2441,145
9,Wandmalerei,111,134
9,Inka,8045,133
9,Malerei,132,132
9,Baudenkmal,3950,131
9,"Theologie, Christentum",188,125
9,Pflanzen (Botanik),314,123
9,"Sprache, Linguistik",1460,120
9,Druck,51,117
9,Vulkaninsel,29936,117
9,"Nachrichtenmedien, Journalismus, Verlagswesen",58,115
9,Geschichte Deutschlands,530,111
9,Verkehr,4225,105
9,Kunst,421,97
9,"Deutsches Filminstitut - DIF e.V., Plakat",6280,95
9,Technik,175,92
9,Sport,77,90
9,mehrbändiges Werk,105,90
9,Bayern,1834,89
9,"Literatur, Rhetorik, Literaturwissenschaft",1044,88
9,Dorf,569,88
9,Urkunden,74,87
9,Donauufer,17491,87
9,Inkaprozession,22463,86
9,Wasser,5045,85
9,Geschichte Europas,974,82
